order_detail_id,order_id,product_id,quantity,discount
1,8131,129,1,3.74
2,16212,198,4,20.97
3,12469,350,8,18.12
4,16219,377,7,17.14
5,15092,371,1,13.29
6,10255,448,7,1.09
7,24080,192,6,16.53
8,33596,221,5,17.13
9,11295,188,2,16.79
10,49386,389,5,29.63
11,20636,169,5,7.11
12,26329,7,8,17.65
13,6100,220,9,9.98
14,26119,345,2,15.37
15,14763,37,6,20.22
16,42873,214,4,2.83
17,12927,447,2,27.47
18,34216,68,4,22.19
19,34278,120,2,8.15
20,31731,256,1,7.36
21,48801,201,8,6.64
22,20625,291,3,5.16
23,34945,464,7,27.47
24,6483,195,4,27.43
25,49210,184,10,13.05
26,20364,6,5,24.34
27,319,272,9,25.69
28,11177,456,10,2.27
29,37467,454,6,21.23
30,36648,467,5,13.16
31,45272,219,8,14.28
32,9943,7,5,18.97
33,28336,265,3,1.81
34,2018,182,6,22.88
35,39439,236,4,7.68
36,16706,161,3,9.59
37,9828,401,10,10.55
38,5696,194,2,23.23
39,24564,285,5,17.65
40,21569,330,5,12.86
41,10056,383,8,17.14
42,11822,130,9,18.96
43,18287,251,8,13.76
44,3444,234,10,4.59
45,42548,196,7,15.48
46,10331,351,1,6.58
47,25544,37,10,12.92
48,28640,427,1,13.93
49,10211,172,4,17.43
50,17923,450,3,22.83
51,34115,384,10,29.14
52,8918,199,1,11.43
53,9950,262,1,26.72
54,8197,54,5,14.27
55,24602,26,8,15.59
56,40108,155,4,7.67
57,41377,355,5,17.43
58,36232,464,3,23.36
59,49715,112,9,14.93
60,13962,104,2,4.68
61,2816,219,3,21.62
62,3269,22,3,28.69
63,37544,166,5,10.42
64,883,12,5,8.38
65,37829,227,3,16.54
66,44702,176,7,19.79
67,23007,245,1,26.06
68,21538,367,7,14.09
69,35153,378,3,7.64
70,15658,439,3,12.14
71,35276,500,3,10.35
72,45213,161,10,22.9
73,31361,208,9,22.62
74,38400,161,3,4.19
75,27449,234,7,16.58
76,17476,110,9,5.44
77,31181,15,2,19.48
78,4352,338,5,3.21
79,47833,171,4,10.99
80,28268,319,4,18.4
81,1990,38,10,22.03
82,16199,314,4,21.15
83,21984,229,6,27.05
84,39749,124,6,3.9
85,43795,226,1,27.12
86,19032,294,10,19.4
87,49844,225,5,14.12
88,30399,498,10,29.54
89,35437,376,7,5.63
90,7985,214,1,19.89
91,18077,377,2,0.18
92,48655,225,9,5.39
93,42063,320,9,10.49
94,1394,281,4,5.46
95,28664,376,8,25.46
96,32903,337,4,25.91
97,28531,290,7,22.71
98,45181,353,3,2.93
99,14717,93,8,4.72
100,14539,145,3,13.57
101,3238,54,4,1.97
102,12442,487,1,21.44
103,33291,394,9,23.65
104,32893,120,3,8.29
105,5242,187,8,29.34
106,19808,290,5,13.36
107,46105,266,1,22.07
108,34969,493,6,13.08
109,10804,224,4,15.01
110,44255,288,10,13.86
111,16225,409,1,17.24
112,18974,163,1,22.22
113,19847,443,6,0.66
114,24841,378,1,8.62
115,47359,182,1,23.76
116,23370,318,3,21.56
117,21932,103,3,19.02
118,42281,153,2,18.19
119,41605,432,4,17.92
120,46425,352,3,22.54
121,35219,384,6,4.64
122,49895,306,7,17.35
123,44461,302,9,22.71
124,16363,189,4,2.11
125,34373,64,2,26.13
126,1412,312,7,23.57
127,3603,325,5,10.93
128,34566,400,1,15.18
129,33817,475,3,8.36
130,12878,229,9,15.16
131,45273,53,8,13.09
132,28322,285,9,2.84
133,12627,302,1,1.73
134,831,482,2,8.94
135,22099,83,8,20.04
136,14148,360,9,19.35
137,14307,408,7,24.09
138,16670,311,6,16.0
139,36124,237,6,9.44
140,36109,394,3,0.08
141,36530,96,4,10.36
142,17276,430,2,11.33
143,26207,406,10,13.51
144,19803,175,10,24.79
145,38858,91,4,3.41
146,8178,233,2,18.64
147,25822,2,6,7.01
148,2579,325,10,12.05
149,47743,37,8,21.95
150,22962,431,9,18.43
151,44216,138,5,29.2
152,43077,185,8,15.16
153,40754,126,1,1.65
154,27637,416,10,21.0
155,31474,75,8,16.88
156,17687,85,7,20.85
157,20462,337,6,28.64
158,29711,299,2,6.64
159,20769,74,4,28.16
160,29330,465,5,21.29
161,44185,387,3,10.39
162,36801,42,6,24.43
163,5204,333,10,14.39
164,45465,384,6,6.47
165,40838,309,10,23.87
166,5055,130,3,1.67
167,46838,491,6,7.25
168,48363,62,3,15.41
169,30161,75,10,3.4
170,14470,223,10,15.62
171,47517,76,9,24.32
172,11664,442,9,6.46
173,32107,424,3,10.42
174,19814,236,9,11.58
175,11339,393,10,11.73
176,48247,272,7,27.72
177,45796,187,7,9.54
178,47627,176,1,2.75
179,12977,135,4,17.3
180,22127,424,4,25.03
181,43879,290,2,4.49
182,14857,165,4,27.77
183,38970,275,4,12.43
184,37464,166,4,20.15
185,16534,131,7,21.01
186,16807,99,3,3.47
187,22747,261,2,22.88
188,13523,498,3,3.81
189,7470,296,4,21.72
190,39380,30,5,5.36
191,4056,206,8,11.35
192,29980,72,8,22.23
