order_id,customer_id,store_id,order_date,payment_method
1,8748,27,2025-06-11,Cash
2,8775,7,2025-08-17,UPI
3,7223,15,2025-05-05,Net Banking
4,2391,18,2025-12-15,Card
5,2603,34,2024-09-23,Net Banking
6,1263,15,2025-01-02,Net Banking
7,3180,22,2026-02-24,Cash
8,4822,33,2024-10-13,Net Banking
9,8853,25,2024-08-07,Net Banking
10,289,33,2026-05-23,Net Banking
11,4772,19,2024-07-14,Net Banking
12,9268,35,2025-06-30,UPI
13,1269,35,2024-09-22,Cash
14,2663,31,2026-02-26,Card
15,8884,17,2026-03-11,Cash
16,6321,9,2024-12-22,UPI
17,3673,35,2025-04-24,Card
18,4114,16,2025-12-10,UPI
19,1300,44,2026-01-15,Net Banking
20,2079,28,2025-03-31,Cash
21,8936,1,2025-10-16,Card
22,2687,26,2026-03-29,Card
23,7097,15,2025-07-27,Card
24,193,19,2025-03-07,Net Banking
25,8717,19,2025-01-23,Net Banking
26,4086,13,2026-04-09,Card
27,6555,40,2024-10-29,Card
28,5302,4,2024-09-24,Cash
29,9845,49,2026-01-08,UPI
30,1022,4,2025-12-27,Cash
31,7340,6,2025-07-29,Cash
32,1668,45,2025-04-23,UPI
33,4760,5,2025-09-14,Card
34,652,50,2025-10-03,Card
35,8999,40,2024-12-15,Card
36,4990,15,2025-01-18,Net Banking
37,3035,13,2026-03-25,UPI
38,6946,47,2025-10-20,Card
39,2283,29,2024-10-30,Card
40,1478,48,2026-02-07,Cash
41,6694,42,2025-02-12,Card
42,8455,1,2024-11-27,UPI
43,1099,23,2025-09-08,UPI
44,1193,21,2025-12-18,Card
45,8656,40,2024-07-27,Net Banking
46,7177,39,2026-04-24,Net Banking
47,2753,22,2025-03-25,Card
48,9982,25,2026-05-29,Cash
49,9303,43,2024-10-23,Card
50,4678,10,2024-12-07,Card
51,7861,40,2026-05-31,UPI
52,649,33,2026-06-10,UPI
53,5296,42,2026-03-01,Card
54,2942,13,2025-07-25,Cash
55,2853,48,2026-03-30,Card
56,890,32,2025-10-30,UPI
57,8009,13,2025-01-11,Net Banking
58,5775,39,2026-05-05,Cash
59,2963,46,2025-06-17,UPI
60,1856,35,2026-01-04,Net Banking
61,5170,23,2025-12-16,Cash
62,7152,33,2025-07-08,Cash
63,1617,45,2024-10-19,Cash
64,9400,39,2025-02-21,Net Banking
65,854,48,2025-10-29,Net Banking
66,2268,37,2025-01-27,Cash
67,3890,18,2024-08-19,Card
68,9733,40,2025-11-18,Card
69,7636,36,2025-04-08,Net Banking
70,2165,6,2026-06-02,UPI
71,9108,30,2025-02-23,UPI
72,5474,46,2026-02-25,UPI
73,4250,35,2025-02-24,UPI
74,7576,24,2025-01-08,Net Banking
75,3150,16,2024-10-11,Cash
76,2671,9,2024-09-09,Cash
77,9842,4,2025-11-21,UPI
78,3517,35,2024-07-30,Card
79,6945,36,2026-06-03,Net Banking
80,360,31,2026-02-23,Card
81,1254,7,2025-09-17,Net Banking
82,5589,46,2024-11-30,UPI
83,9559,14,2024-11-22,UPI
84,7168,15,2025-01-08,Cash
85,8049,18,2025-02-03,Card
86,1747,11,2025-05-19,UPI
87,3458,16,2026-03-14,Cash
88,143,34,2024-12-29,UPI
89,9731,1,2026-05-21,Net Banking
90,3080,47,2025-04-02,Net Banking
91,6302,21,2025-09-04,Cash
92,6199,31,2024-12-04,Card
93,102,10,2024-10-29,UPI
94,5506,25,2025-01-29,Net Banking
95,7853,10,2026-01-04,Net Banking
96,2141,46,2025-07-21,UPI
97,7461,5,2026-01-01,Card
98,4278,44,2024-09-03,Net Banking
99,7270,30,2026-01-11,Card
100,9358,17,2025-01-02,Net Banking
101,7247,8,2025-07-25,Cash
102,9392,1,2025-03-06,Cash
103,8280,25,2024-08-10,Card
104,6420,46,2026-06-21,Card
105,7707,43,2025-03-30,Net Banking
106,5650,24,2026-02-20,Card
107,8548,42,2025-04-27,Cash
108,2245,18,2026-03-07,Net Banking
109,9418,15,2026-05-05,Cash
110,4825,7,2024-12-09,Net Banking
111,8461,15,2025-01-21,UPI
112,6717,31,2025-12-02,Cash
113,9690,50,2025-03-22,Card
114,4684,38,2024-07-20,Net Banking
115,6128,27,2025-11-12,Card
116,4747,24,2025-06-22,Net Banking
117,8989,40,2025-12-25,Card
118,2475,16,2026-04-06,UPI
119,1431,23,2025-12-10,Net Banking
120,4348,16,2025-10-04,UPI
121,5535,15,2025-05-12,Cash
122,9133,48,2025-11-05,Card
123,6279,35,2025-05-19,Cash
124,1631,6,2026-02-01,Cash
125,7145,36,2026-06-10,Card
126,1086,12,2024-08-18,Net Banking
127,2076,48,2025-10-02,Card
128,1645,34,2025-04-24,Cash
129,4584,1,2024-08-14,UPI
130,2575,31,2026-06-18,Card
131,3890,35,2024-10-19,Cash
132,8415,28,2025-02-20,Net Banking
133,5530,4,2024-12-23,UPI
134,7052,14,2026-05-12,Card
135,1062,11,2025-10-04,Cash
136,1978,10,2026-03-06,Cash
137,3722,32,2024-08-09,UPI
138,8880,27,2025-03-16,Cash
139,29,24,2026-05-31,Cash
140,4327,47,2026-06-12,Card
141,4588,46,2025-03-23,Cash
142,7161,42,2025-03-25,Cash
143,1409,36,2025-10-02,UPI
144,4055,48,2024-10-24,Net Banking
145,6329,38,2024-11-28,Card
146,9256,41,2026-04-02,Net Banking
147,3056,44,2024-07-09,Net Banking
148,4158,41,2026-03-06,Cash
149,8236,50,2024-09-26,Card
150,4084,40,2025-06-19,Net Banking
151,1994,15,2024-11-03,UPI
152,4251,41,2025-04-07,Card
